name,ufc_bouts_1993_2009,years,why_not_in_game,first_event
Chad Reiner,2,2007,no ESPN profile,UFC Fight Night: Evans vs. Salmon
Chris Brennan,2,1998-2002,no ESPN profile,UFC 16
Chris Price,2,2006-2007,no ESPN profile,Ortiz vs. Shamrock 3: The Final Chapter
Christophe Leininger,2,1994-1997,no ESPN profile,UFC 13
Colin Robinson,2,2007-2008,no ESPN profile,UFC 72
Crafton Wallace,2,2006,no ESPN profile,Ortiz vs. Shamrock 3: The Final Chapter
Curtis Stout,2,2001-2004,no ESPN profile,UFC 30
DaMarques Johnson,2,2009,no ESPN profile,The Ultimate Fighter: United States vs. United Kingdom Finale
Dan Christison,2,2006,no ESPN profile,UFC 61
Dan Cramer,2,2009,no ESPN profile,UFC 101
Danny Abbadi,2,2006,"ESPN profile lacks nationality, DOB",The Ultimate Fighter 3 Finale
Dave Kaplan,2,2008-2009,no ESPN profile,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale
Dave Strasser,2,2003,no ESPN profile,UFC 42
David Dodd,2,1999-2000,"ESPN profile lacks nationality, DOB, height",UFC 21
David Lee,2,2006-2007,no ESPN profile,UFC 63
Denis Stojnić,2,2009,ESPN profile lacks division,UFC 99
Dokonjonosuke Mishima,2,2006-2007,no ESPN profile,UFC 65
Doug Evans,2,2007,no ESPN profile,The Ultimate Fighter 5 Finale
Edilberto de Oliveira,2,2007,no ESPN profile,UFC 70
Efraín Escudero,2,2008-2009,ESPN profile complete,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale
Fabiano Scherner,2,2005-2006,no ESPN profile,UFC 60
Falaniko Vitale,2,2003,no ESPN profile,UFC 43
Geza Kalman,2,1995-1996,no ESPN profile,UFC 10
Harold Howard,2,1994-1995,"ESPN profile lacks nationality, DOB, height",UFC 3
Harry Moskowitz,2,1997-1998,no ESPN profile,UFC 15
Hector Ramirez,2,2006-2007,ESPN profile complete,UFC 65
Jack Nilson,2,1996-1997,"ESPN profile lacks nationality, DOB, height",UFC 13
Jason Gilliam,2,2007,no ESPN profile,UFC 68
Jason Godsey,2,1999,no ESPN profile,UFC 19
Jason Tan,2,2007-2008,"ESPN profile lacks nationality, DOB",UFC 72
Jeff Cox,2,2007-2008,no ESPN profile,UFC Fight Night: Florian vs. Lauzon
Jeremy Jackson,2,2003-2006,"ESPN profile lacks nationality, DOB, height",The Ultimate Fighter 4 Finale
Joe Moreira,2,1996-1997,"ESPN profile lacks nationality, DOB, height",UFC 14
Joe Slick,2,1999-2000,no ESPN profile,UFC 23
Joe Vedepo,2,2008-2009,no ESPN profile,UFC Fight Night: Condit vs. Kampmann
Joe Veres,2,2007-2008,ESPN profile lacks nationality,UFC Fight Night: Swick vs. Burkman
Joel Sutton,2,1995,"ESPN profile lacks nationality, DOB",UFC 6
John Halverson,2,2007-2008,"ESPN profile lacks nationality, height",UFC 67
John Lewis,2,1999-2000,no ESPN profile,UFC 22
Johnny Rees,2,2008,no ESPN profile,UFC Fight Night: Silva vs. Irvin
Jon Koppenhaver,2,2007-2008,no ESPN profile,The Ultimate Fighter: Team Hughes vs. Team Serra Finale
Jordan Radev,2,2007,no ESPN profile,UFC 79
Junie Browning,2,2008-2009,no ESPN profile,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale
Justin Levens,2,2006,"ESPN profile lacks nationality, DOB, height",UFC 59
Jutaro Nakao,2,2001-2002,"ESPN profile lacks division, nationality",UFC 33
Kazuhiro Nakamura,2,2007-2008,no ESPN profile,UFC 76
Keith Rockel,2,2002-2003,"ESPN profile lacks nationality, DOB, height",UFC 35
Kenichi Yamamoto,2,1999-2000,no ESPN profile,UFC 23
Kevin Jordan,2,2005,no ESPN profile,UFC 53
Kevin Rosier,2,1993-1994,no ESPN profile,UFC 1
Koji Oishi,2,2000-2005,no ESPN profile,UFC 25
